"Comment","Designator","Footprint","LCSC Part #"
"WHITE_LED","D1,D2,D3,D4,D7,D8,D5,D6,D9,D10,D11,D12,D15,D16,D13,D14,D17,D18,D19,D20,D29,D30,D23,D24,D25,D26,D27,D28,D21,D22,D31,D32,D33,D34,D35,D36,D45,D46,D39,D40,D41,D42,D43,D44,D37,D38,D47,D48","D_0603_1608Metric","C2290"
"150Ohms-±1%-1_10W-0603","R1,R2,R3,R4,R7,R8,R5,R6,R9,R10,R11,R12,R15,R16,R13,R14,R17,R18,R19,R20,R29,R30,R23,R24,R25,R26,R27,R28,R21,R22,R31,R32,R33,R34,R35,R36,R45,R46,R39,R40,R41,R42,R43,R44,R37,R38,R47,R48","R_0603_1608Metric","C22808"
